1329,27
1329,1021
1329,297
1330,1330
1330,1089
1330,500
1330,77
100,290
100,1244
100,1243
100,1365
100,1233
100,1003
100,981
100,1170
100,1261
100,1188
100,1000
100,1293
100,220
100,1366
100,500
100,661
270,953
270,409
270,21
270,1259
270,495
575,575
575,500
1300,1300
1300,329
1300,314
1300,1367
1300,302
1300,1344
1300,360
1300,1174
1300,1368
1300,551
1300,104
1300,1236
1300,983
1300,818
257,47
257,22
257,906
257,407
257,626
257,1174
257,1368
257,1369
257,849
257,320
257,983
257,250
257,607
257,1274
1287,517
1287,781
1287,1041
1287,1369
1287,1322
1287,1370
1331,1331
447,447
1004,374
1004,428
1004,625
1004,1365
1004,31
1004,140
1004,1371
1004,883
1004,1070
1004,1081
847,847
847,500
69,69
69,552
69,899
807,781
807,39
807,500
1284,1284
1284,1043
1284,451
1284,244
1284,500
1037,973
781,781
1186,1058
1186,690
1115,747
1058,1058
7,194
7,1365
7,659
7,713
7,1372
7,1347
7,849
7,1190
7,65
7,500
7,983
7,169
7,607
7,1274
1332,374
1332,1333
1332,554
1332,278
1332,18
1332,1145
1332,132
1332,162
1332,542
1333,747
1333,1333
1333,1288
1333,1094
1333,1345
506,506
1334,1090
1334,893
290,575
290,290
290,6
290,18
290,430
290,297
290,414
290,18
290,253
290,18
290,18
507,492
507,401
507,1365
507,1031
507,876
507,1373
507,411
507,743
507,1085
507,1374
507,152
507,1305
507,937
507,14
507,87
507,661
507,890
369,369
369,500
1118,376
1118,782
299,1099
299,758
387,1369
1264,1233
1264,14
768,632
768,500
401,569
401,306
523,1375
1335,299
1335,554
1335,1376
1335,1181
1335,463
1335,535
1335,644
1335,493
1335,17
1335,1234
1335,1049
1335,93
1335,185
1335,1377
1335,526
1335,352
1335,1378
1335,283
1335,304
1335,1315
1335,980
1196,270
1196,781
1196,299
1196,875
1196,1376
1196,1181
1196,1337
1196,1280
1196,60
1196,342
1196,605
1196,1145
1196,17
1196,904
1196,1152
1196,494
1196,1328
1196,165
1196,1183
1196,82
1196,1241
1196,1291
1196,283
1196,627
1196,980
389,1244
389,1041
389,1235
389,61
389,220
857,1043
857,1276
857,24
857,906
857,407
857,616
857,1347
857,1379
857,1380
857,50
857,1381
857,1291
907,1317
907,862
907,155
907,1355
907,149
907,500
554,554
1266,1282
1206,500
1206,341
1206,1274
160,819
156,492
156,1382
156,22
156,605
156,409
156,1345
156,289
156,500
92,504
92,1063
92,913
92,1345
92,556
92,1362
92,1322
356,342
356,959
356,362
356,542
945,1365
945,1229
945,1317
945,971
945,1355
945,1025
945,996
1050,906
264,264
264,230
264,1305
264,48
264,58
264,1355
264,284
264,500
1288,953
825,523
825,1337
825,1233
825,227
825,1145
825,839
825,1159
825,864
825,14
825,273
825,726
825,865
313,313
799,500
1181,78
1181,1181
1181,576
1181,500
1181,1383
952,823
952,692
952,1384
952,47
952,1385
952,906
952,407
952,1145
952,464
952,484
952,1368
952,1369
952,43
952,14
952,959
952,500
952,1386
952,607
952,1106
1336,1041
1336,280
1336,1003
1336,953
1336,861
1336,409
1336,292
1336,61
1336,512
1336,1259
1336,220
1336,1366
1336,542
1336,1322
1336,1135
1336,1106
1277,1021
1277,1070
1,519
1,1039
1,953
1,1049
1,297
1,141
1,1310
1,1291
1,542
1,1322
172,781
172,779
172,171
172,429
372,823
372,1226
372,542
1337,1337
1337,1145
1337,61
1337,484
1337,702
1337,687
1173,353
1173,1173
1173,500
1173,782
1173,1274
674,507
674,1337
674,632
674,493
674,1070
674,500
210,737
1301,17
1301,587
1301,1366
644,1110
644,1365
644,413
644,493
644,1317
644,594
644,500
1338,519
1338,781
1338,507
1338,660
1338,1244
1338,389
1338,776
1338,1055
1338,1387
1338,1041
1338,436
1338,1160
1338,1105
1338,1388
1338,593
1338,174
1338,342
1338,953
1338,17
1338,904
1338,1389
1338,1188
1338,132
1338,518
1338,656
1338,1234
1338,755
1338,1347
1338,1049
1338,1052
1338,1390
1338,93
1338,201
1338,508
1338,1305
1338,186
1338,1183
1338,21
1338,862
1338,716
1338,84
1338,1378
1338,1113
1338,220
1338,1310
1338,1291
1338,231
1338,1121
1338,581
1338,782
413,401
413,380
480,517
480,1244
480,620
480,328
480,1245
480,59
480,758
480,1391
480,541
480,1299
480,904
480,1345
480,869
480,484
480,858
480,1392
480,491
480,244
480,1393
480,1378
480,70
480,1249
480,1322
670,575
670,1394
670,1063
670,670
670,899
670,465
670,240
670,658
670,834
670,162
670,1355
670,220
670,1326
748,748
748,598
748,455
918,181
918,1204
918,1240
918,343
918,461
918,1395
848,519
848,1337
848,848
848,906
848,951
848,605
848,1145
848,1060
848,165
826,797
826,826
632,226
632,389
632,547
632,356
632,264
632,1396
632,493
632,1039
632,1397
632,500
1339,490
263,407
481,385
481,89
481,957
1340,692
1340,1090
493,493
493,17
493,864
493,304
1197,1279
1197,121
1197,948
1197,405
427,86
427,1355
1341,569
1341,430
1341,512
1341,930
1341,728
1341,250
140,271
140,140
140,556
310,1283
310,1345
310,1366
310,500
856,407
856,1345
388,270
388,1332
388,508
388,61
388,512
388,1322
1193,535
1193,698
60,299
60,1398
60,1365
60,1345
60,1399
60,500
60,1239
863,1041
863,59
863,698
863,180
863,1400
863,445
863,869
863,40
863,1049
863,895
863,816
863,860
863,1113
863,627
863,432
863,1322
891,389
891,891
891,500
368,240
368,352
437,407
137,122
137,500
137,542
723,797
723,723
391,500
391,505
391,514
1342,481
1342,1316
1342,1342
1342,1308
1342,500
1342,661
1342,77
